name,solution
C0000001,0
C0000002,5
C0000003,4
C0000004,3
C0000005,2
C0000006,1
C0000007,4
C0000008,0
C0000009,0
C0000010,6
C0000011,0
C0000012,0
C0000013,0
C0000014,0
C0000015,0
C0000016,0
C0000017,0
C0000018,0
C0000019,0
C0000020,0
C0000021,0
C0000022,0
C0000023,0
C0000024,0
C0000025,0
C0000026,0
C0000027,0
C0000028,0
C0000029,0
C0000030,0
C0000031,2
C0000032,0
C0000033,0
C0000034,0
C0000035,0
C0000036,0
C0000037,0
C0000038,0
C0000039,0
C0000040,0
C0000041,0
C0000042,0
C0000043,0
C0000044,0
C0000045,0
C0000046,0
C0000047,0
C0000048,0
C0000049,0
C0000050,0
C0000051,0
C0000052,0
C0000053,0
C0000054,0
C0000055,0
C0000056,12
C0000057,0
C0000058,0
C0000059,12
C0000060,0
C0000061,0
C0000062,12
C0000063,0
C0000064,0
C0000065,0
C0000066,0
C0000067,0
C0000068,0
C0000069,0
C0000070,0
C0000071,0
C0000072,0
C0000073,0
C0000074,0
C0000075,0
C0000076,0
C0000077,0
C0000078,0
C0000079,0
C0000080,0
C0000081,0
C0000082,0
C0000083,0
C0000084,0
C0000085,0
C0000086,0
C0000087,0
C0000088,0
C0000089,0
C0000090,0
C0000091,0
C0000092,0
C0000093,0
C0000094,0
C0000095,0
C0000096,0
C0000097,0
C0000098,0
C0000099,0
C0000100,1
C0000101,0
C0000102,0
C0000103,0
C0000104,7
C0000105,0
C0000106,0
C0000107,0
C0000108,0
C0000109,0
C0000110,0
C0000111,0
C0000112,0
C0000113,0
C0000114,0
C0000115,0
C0000116,0
C0000117,0
C0000118,0
C0000119,5
C0000120,0
C0000121,0
C0000122,0
C0000123,0
C0000124,0
C0000125,0
C0000126,0
C0000127,0
C0000128,0
C0000129,0
C0000130,0
C0000131,0
C0000132,0
C0000133,0
C0000134,0
C0000135,0
C0000136,0
C0000137,0
C0000138,0
C0000139,0
C0000140,0
C0000141,0
C0000142,0
C0000143,0
C0000144,0
C0000145,0
C0000146,0
C0000147,0
C0000148,0
C0000149,0
C0000150,0
C0000151,0
C0000152,0
C0000153,0
C0000154,0
C0000155,0
C0000156,0
C0000157,0
C0000158,0
C0000159,0
C0000160,0
C0000161,1
C0000162,0
C0000163,0
C0000164,0
C0000165,6
C0000166,0
C0000167,0
C0000168,0
C0000169,0
C0000170,0
C0000171,0
C0000172,0
C0000173,0
C0000174,0
C0000175,0
C0000176,0
C0000177,0
C0000178,0
C0000179,0
C0000180,4
C0000181,0
C0000182,0
C0000183,0
C0000184,0
C0000185,0
C0000186,0
C0000187,0
C0000188,0
C0000189,0
C0000190,0
C0000191,0
C0000192,0
C0000193,0
C0000194,0
C0000195,0
C0000196,0
C0000197,0
C0000198,0
C0000199,0
C0000200,0
C0000201,0
C0000202,0
C0000203,0
C0000204,0
C0000205,0
C0000206,0
C0000207,0
C0000208,0
C0000209,0
C0000210,0
C0000211,0
C0000212,0
C0000213,0
C0000214,0
C0000215,0
C0000216,0
C0000217,0
C0000218,0
C0000219,0
C0000220,0
C0000221,0
C0000222,1
C0000223,0
C0000224,0
C0000225,0
C0000226,5
C0000227,0
C0000228,0
C0000229,0
C0000230,0
C0000231,0
C0000232,0
C0000233,0
C0000234,0
C0000235,0
C0000236,0
C0000237,0
C0000238,0
C0000239,0
C0000240,0
C0000241,3
C0000242,0
C0000243,0
C0000244,0
C0000245,0
C0000246,0
C0000247,0
C0000248,0
C0000249,0
C0000250,0
C0000251,0
C0000252,0
C0000253,0
C0000254,0
C0000255,0
C0000256,0
C0000257,0
C0000258,0
C0000259,0
C0000260,0
C0000261,0
C0000262,0
C0000263,0
C0000264,0
C0000265,0
C0000266,0
C0000267,0
C0000268,0
C0000269,0
C0000270,0
C0000271,0
C0000272,1
C0000273,0
C0000274,0
C0000275,0
C0000276,1
C0000277,0
C0000278,0
C0000279,0
C0000280,4
C0000281,0
C0000282,0
C0000283,0
C0000284,0
C0000285,0
C0000286,0
C0000287,0
C0000288,0
C0000289,0
C0000290,0
C0000291,0
C0000292,0
C0000293,0
C0000294,0
C0000295,2
C0000296,0
C0000297,0
C0000298,0
C0000299,0
C0000300,0
C0000301,0
C0000302,0
C0000303,0
C0000304,0
C0000305,0
C0000306,0
C0000307,0
C0000308,0
C0000309,0
C0000310,0
C0000311,0
C0000312,0
C0000313,0
C0000314,0
C0000315,0
C0000316,0
C0000317,0
C0000318,0
C0000319,0
C0000320,0
C0000321,0
C0000322,0
C0000323,0
C0000324,0
C0000325,0
C0000326,0
C0000327,0
C0000328,0
C0000329,0
C0000330,1
C0000331,0
C0000332,0
C0000333,0
C0000334,3
C0000335,0
C0000336,0
C0000337,0
C0000338,0
C0000339,0
C0000340,0
C0000341,0
C0000342,0
C0000343,0
C0000344,0
C0000345,0
C0000346,0
C0000347,0
C0000348,0
C0000349,1
C0000350,0
C0000351,0
C0000352,0
C0000353,0
C0000354,0
C0000355,0
C0000356,0
C0000357,0
C0000358,0
C0000359,0
C0000360,0
C0000361,0
C0000362,0
C0000363,0
C0000364,0
C0000365,0
C0000366,0
C0000367,0
C0000368,0
C0000369,0
C0000370,0
C0000371,0
C0000372,0
C0000373,0
C0000374,0
C0000375,0
C0000376,0
C0000377,0
C0000378,0
C0000379,0
C0000380,0
C0000381,0
C0000382,0
C0000383,0
C0000384,1
C0000385,0
C0000386,0
C0000387,0
C0000388,2
C0000389,0
C0000390,0
C0000391,0
C0000392,0
C0000393,0
C0000394,0
C0000395,0
C0000396,0
C0000397,0
C0000398,0
C0000399,0
C0000400,0
C0000401,0
C0000402,0
C0000403,0
C0000404,0
C0000405,0
C0000406,0
C0000407,0
C0000408,0
C0000409,0
C0000410,0
C0000411,0
C0000412,0
C0000413,0
C0000414,0
C0000415,0
C0000416,0
C0000417,0
C0000418,0
C0000419,0
C0000420,0
C0000421,0
C0000422,0
C0000423,0
C0000424,0
C0000425,0
C0000426,0
C0000427,0
C0000428,0
C0000429,0
C0000430,0
C0000431,0
C0000432,0
C0000433,0
C0000434,0
C0000435,0
C0000436,0
C0000437,0
C0000438,1
C0000439,0
C0000440,0
C0000441,0
C0000442,1
C0000443,0
C0000444,0
C0000445,0
C0000446,0
C0000447,0
C0000448,0
C0000449,0
C0000450,0
C0000451,0
C0000452,0
C0000453,0
C0000454,0
C0000455,0
C0000456,0
C0000457,0
C0000458,0
C0000459,0
C0000460,0
C0000461,0
C0000462,0
C0000463,0
C0000464,0
C0000465,0
C0000466,0
C0000467,0
C0000468,1
C0000469,0
C0000470,0
C0000471,0
C0000472,0
C0000473,0
C0000474,1
C0000475,0
C0000476,0
C0000477,0
C0000478,0
C0000479,0
C0000480,0
C0000481,1
C0000482,0
C0000483,0
